city,property_type,price_tnd,surface_m2,sustainability_score,combined_risk
Ariana,Apartment,360000.0,128.0,78.7,3.67
Ariana,Land,52500.0,1.0,78.7,3.67
Ariana,Apartment,430000.0,144.0,78.7,3.67
Ariana,Unknown,150000.0,300.0,78.7,3.67
Ariana,House,520000.0,250.0,78.7,3.67
Ariana,Apartment,290000.0,140.0,78.7,3.67
Ariana,House,1111000.0,90.0,78.7,3.67
Ariana,House,690000.0,320.0,78.7,3.67
Ariana,House,280000.0,400.0,78.7,3.67
Ariana,Unknown,780000.0,200.0,78.7,3.67
Ariana,Unknown,1300000.0,931.0,78.7,3.67
Ariana,House,900000.0,436.0,78.7,3.67
Ariana,House,1300000.0,550.0,78.7,3.67
Ariana,House,980000.0,300.0,78.7,3.67
Ariana,Apartment,310000.0,116.0,78.7,3.67
Ariana,House,770000.0,380.0,78.7,3.67
Ariana,House,1300000.0,900.0,78.7,3.67
Ariana,Land,995000.0,1.0,78.7,3.67
Ariana,House,290000.0,165.0,78.7,3.67
Ariana,Apartment,530000.0,222.0,78.7,3.67
Ariana,Apartment,415000.0,170.0,78.7,3.67
Ariana,Apartment,530000.0,200.0,78.7,3.67
Ariana,Apartment,205000.0,105.0,78.7,3.67
Ariana,Apartment,280000.0,138.0,78.7,3.67
Ariana,Unknown,28000.0,40.0,78.7,3.67
Ariana,Apartment,375000.0,170.0,78.7,3.67
Ariana,Apartment,240000.0,106.0,78.7,3.67
Ariana,House,125000.0,130.0,78.7,3.67
Ariana,Land,152000.0,1.0,78.7,3.67
Ariana,Apartment,95000.0,31.0,78.7,3.67
Ariana,House,600000.0,718.0,78.7,3.67
Ariana,Apartment,130000.0,94.0,78.7,3.67
Ariana,Land,716800.0,1.0,78.7,3.67
Ariana,Apartment,215000.0,105.0,78.7,3.67
Ariana,Land,179900.0,1.0,78.7,3.67
Ariana,Apartment,107000.0,100.0,78.7,3.67
Ariana,Land,37620.0,1.0,78.7,3.67
Ariana,House,58000.0,100.0,78.7,3.67
Ariana,Apartment,230000.0,153.0,78.7,3.67
Ariana,Apartment,360000.0,157.0,78.7,3.67
Ariana,House,1890000.0,600.0,78.7,3.67
Ariana,Apartment,485000.0,200.0,78.7,3.67
Ariana,Apartment,395000.0,150.0,78.7,3.67
Ariana,Apartment,350000.0,205.0,78.7,3.67
Ariana,Apartment,175000.0,63.0,78.7,3.67
Ariana,Apartment,360000.0,169.0,78.7,3.67
Ariana,House,570000.0,300.0,78.7,3.67
Ariana,Apartment,245000.0,130.0,78.7,3.67
Ariana,Apartment,335000.0,135.0,78.7,3.67
Ariana,Apartment,110000.0,109.0,78.7,3.67
Ariana,Land,355200.0,1.0,78.7,3.67
Ariana,House,380000.0,426.0,78.7,3.67
Ariana,Apartment,260000.0,140.0,78.7,3.67
Ariana,Land,187000.0,1.0,78.7,3.67
Ariana,Land,93100.0,1.0,78.7,3.67
Ariana,Apartment,155000.0,78.0,78.7,3.67
Ariana,Apartment,405000.0,170.0,78.7,3.67
Ariana,House,1550000.0,1000.0,78.7,3.67
Ariana,Apartment,360000.0,140.0,78.7,3.67
Ariana,House,210000.0,300.0,78.7,3.67
Ariana,Apartment,98000.0,75.0,78.7,3.67
Ariana,House,950000.0,500.0,78.7,3.67
Ariana,Unknown,1100000.0,750.0,78.7,3.67
Ariana,House,600000.0,750.0,78.7,3.67
Ariana,House,380000.0,170.0,78.7,3.67
Ariana,Apartment,320000.0,130.0,78.7,3.67
Ariana,House,1800000.0,1000.0,78.7,3.67
Ariana,Apartment,350000.0,153.0,78.7,3.67
Ariana,Unknown,37000.0,450.0,78.7,3.67
Ariana,House,300000.0,335.0,78.7,3.67
Ariana,Land,94000.0,1.0,78.7,3.67
Ariana,Apartment,145000.0,55.0,78.7,3.67
Ariana,House,220000.0,151.0,78.7,3.67
Ariana,House,550000.0,206.0,78.7,3.67
Ariana,House,460000.0,340.0,78.7,3.67
Ariana,Land,2295000.0,1.0,78.7,3.67
Ariana,House,70000.0,200.0,78.7,3.67
Ariana,Apartment,328000.0,121.0,78.7,3.67
Ariana,Apartment,161000.0,64.0,78.7,3.67
Ariana,Land,457650.0,1.0,78.7,3.67
Ariana,House,900000.0,311.0,78.7,3.67
Ariana,House,800000.0,327.0,78.7,3.67
Ariana,Unknown,180000.0,117.0,78.7,3.67
Ariana,Apartment,328000.0,135.0,78.7,3.67
Ariana,Apartment,350000.0,146.0,78.7,3.67
Ariana,Apartment,370000.0,131.0,78.7,3.67
Ariana,Unknown,30000.0,25.0,78.7,3.67
Ariana,Apartment,1100000.0,75.0,78.7,3.67
Ariana,Apartment,420000.0,180.0,78.7,3.67
Ariana,Apartment,245000.0,139.0,78.7,3.67
Ariana,Apartment,240000.0,128.0,78.7,3.67
Ariana,Apartment,178000.0,67.0,78.7,3.67
Ariana,Apartment,370000.0,167.0,78.7,3.67
Ariana,Apartment,200000.0,98.0,78.7,3.67
Ariana,Apartment,180000.0,140.0,78.7,3.67
Ariana,Apartment,529000.0,191.0,78.7,3.67
Ariana,Apartment,369510.0,178.0,78.7,3.67
Ariana,Apartment,255000.0,115.0,78.7,3.67
Ariana,House,250000.0,450.0,78.7,3.67
Ariana,Land,262000.0,1.0,78.7,3.67
Ariana,Apartment,260000.0,112.0,78.7,3.67
Ariana,Land,295000.0,1.0,78.7,3.67
Ariana,Apartment,360000.0,163.0,78.7,3.67
Ariana,House,520000.0,460.0,78.7,3.67
Ariana,Apartment,158000.0,105.0,78.7,3.67
Ariana,House,600000.0,250.0,78.7,3.67
Ariana,Apartment,1300000.0,307.0,78.7,3.67
Ariana,House,200000.0,170.0,78.7,3.67
Ariana,Land,293040.0,1.0,78.7,3.67
Ariana,Land,546550.0,1.0,78.7,3.67
Ariana,Land,927750.0,1.0,78.7,3.67
Ariana,Land,570980.0,1.0,78.7,3.67
Ariana,House,320000.0,600.0,78.7,3.67
Ariana,House,400000.0,100.0,78.7,3.67
Ariana,Unknown,1200000.0,250.0,78.7,3.67
Ariana,House,1027188.0,395.0,78.7,3.67
Ariana,House,300000.0,139.0,78.7,3.67
Ariana,Unknown,238000.0,72.0,78.7,3.67
Ariana,Apartment,237000.0,128.0,78.7,3.67
Ariana,House,1350000.0,520.0,78.7,3.67
Ariana,Land,953000.0,1.0,78.7,3.67
Ariana,House,470000.0,370.0,78.7,3.67
Ariana,Land,290250.0,1.0,78.7,3.67
Ariana,Apartment,220000.0,107.0,78.7,3.67
Ariana,House,800000.0,250.0,78.7,3.67
Ariana,Apartment,300000.0,132.0,78.7,3.67
Ariana,House,985000.0,320.0,78.7,3.67
Ariana,House,480000.0,300.0,78.7,3.67
Ariana,Apartment,340000.0,158.0,78.7,3.67
Ariana,Apartment,500000.0,174.0,78.7,3.67
Ariana,Unknown,120000.0,398.0,78.7,3.67
Ariana,Apartment,300000.0,120.0,78.7,3.67
Ariana,Apartment,268000.0,122.0,78.7,3.67
Ariana,House,580000.0,277.0,78.7,3.67
Ariana,Apartment,370000.0,168.0,78.7,3.67
Ariana,House,140000.0,162.0,78.7,3.67
Ariana,Unknown,190000.0,200.0,78.7,3.67
Ariana,House,175000.0,300.0,78.7,3.67
Ariana,House,115000.0,103.0,78.7,3.67
Ariana,Apartment,179000.0,67.0,78.7,3.67
Ariana,Apartment,335000.0,156.0,78.7,3.67
Ariana,Apartment,410000.0,199.0,78.7,3.67
Ariana,House,28000.0,150.0,78.7,3.67
Ariana,House,1450000.0,280.0,78.7,3.67
Ariana,Apartment,115000.0,76.0,78.7,3.67
Ariana,Apartment,760000.0,188.0,78.7,3.67
Ariana,Apartment,123000.0,70.0,78.7,3.67
Ariana,House,1100000.0,600.0,78.7,3.67
Ariana,Land,77500.0,1.0,78.7,3.67
Ariana,Apartment,125000.0,55.0,78.7,3.67
Ariana,Apartment,270000.0,147.0,78.7,3.67
Ariana,House,980000.0,570.0,78.7,3.67
Ariana,Apartment,465000.0,186.0,78.7,3.67
Ariana,House,380000.0,257.0,78.7,3.67
Ariana,House,690000.0,400.0,78.7,3.67
Ariana,Unknown,390000.0,120.0,78.7,3.67
Ariana,Apartment,445000.0,177.0,78.7,3.67
Ariana,Apartment,158000.0,56.0,78.7,3.67
Ariana,Unknown,1400000.0,800.0,78.7,3.67
Ariana,Apartment,340000.0,138.0,78.7,3.67
Ariana,House,490000.0,350.0,78.7,3.67
Ariana,Apartment,200000.0,500.0,78.7,3.67
Ariana,Unknown,625000.0,250.0,78.7,3.67
Ariana,Apartment,190000.0,92.0,78.7,3.67
Ariana,Unknown,20000.0,1000.0,78.7,3.67
Ariana,Apartment,300000.0,175.0,78.7,3.67
Ariana,House,390000.0,216.0,78.7,3.67
Ariana,Land,144999.0,1.0,78.7,3.67
Ariana,House,1250000.0,490.0,78.7,3.67
Ariana,Apartment,350000.0,147.0,78.7,3.67
Ariana,House,425000.0,456.0,78.7,3.67
Ariana,Land,1150600.0,1.0,78.7,3.67
Ariana,Apartment,255000.0,126.0,78.7,3.67
Ariana,Apartment,165000.0,116.0,78.7,3.67
Ariana,House,760000.0,496.0,78.7,3.67
Ariana,Apartment,330000.0,126.0,78.7,3.67
Ariana,House,135000.0,225.0,78.7,3.67
Ariana,House,60000.0,200.0,78.7,3.67
Ariana,House,140000.0,125.0,78.7,3.67
Ariana,Unknown,390000.0,200.0,78.7,3.67
Ariana,Apartment,180000.0,65.0,78.7,3.67
Ariana,Apartment,205000.0,104.0,78.7,3.67
Ariana,House,840000.0,480.0,78.7,3.67
Ariana,Apartment,154000.0,111.0,78.7,3.67
Ariana,Apartment,181000.0,131.0,78.7,3.67
Ariana,House,320000.0,250.0,78.7,3.67
Ariana,Apartment,340000.0,190.0,78.7,3.67
Ariana,Land,605000.0,1.0,78.7,3.67
Ariana,Apartment,356994.0,162.0,78.7,3.67
Ariana,House,480000.0,210.0,78.7,3.67
Ariana,Apartment,230000.0,82.0,78.7,3.67
Ariana,Unknown,69000.0,98.0,78.7,3.67
Ariana,Apartment,420000.0,148.0,78.7,3.67
Ariana,Apartment,190000.0,112.0,78.7,3.67
Ariana,House,1250000.0,700.0,78.7,3.67
Ariana,House,160000.0,123.0,78.7,3.67
Ariana,Apartment,200000.0,99.0,78.7,3.67
Ariana,House,350000.0,411.0,78.7,3.67
Ariana,Apartment,390000.0,500.0,78.7,3.67
Ariana,House,1800000.0,580.0,78.7,3.67
Ariana,Apartment,143000.0,110.0,78.7,3.67
Ariana,House,440000.0,227.0,78.7,3.67
Ariana,Apartment,235000.0,140.0,78.7,3.67
Ariana,House,650000.0,375.0,78.7,3.67
Ariana,House,380000.0,240.0,78.7,3.67
Ariana,House,80000.0,138.0,78.7,3.67
Ariana,House,230000.0,250.0,78.7,3.67
Ariana,House,375000.0,500.0,78.7,3.67
Ariana,House,420000.0,1000.0,78.7,3.67
Ariana,Land,39780.0,1.0,78.7,3.67
Ariana,Unknown,200000.0,30.0,78.7,3.67
Ariana,House,160000.0,119.0,78.7,3.67
Ariana,House,450000.0,460.0,78.7,3.67
Ariana,Land,295750.0,1.0,78.7,3.67
Ariana,Apartment,300000.0,135.0,78.7,3.67
Ariana,Apartment,200000.0,124.0,78.7,3.67
Ariana,House,750000.0,180.0,78.7,3.67
Ariana,House,1200000.0,800.0,78.7,3.67
Ariana,Unknown,35000.0,45.0,78.7,3.67
Ariana,Apartment,360000.0,129.0,78.7,3.67
Ariana,Apartment,205000.0,88.0,78.7,3.67
Ariana,Land,91000.0,1.0,78.7,3.67
Ariana,House,135000.0,130.0,78.7,3.67
Ariana,Apartment,240000.0,120.0,78.7,3.67
Ariana,House,155000.0,228.0,78.7,3.67
Ariana,Unknown,35000.0,320.0,78.7,3.67
Ariana,Apartment,335000.0,151.0,78.7,3.67
Ariana,Apartment,185000.0,122.0,78.7,3.67
Ariana,Land,594000.0,1.0,78.7,3.67
Ariana,House,870000.0,500.0,78.7,3.67
Ariana,Apartment,185000.0,121.0,78.7,3.67
Ariana,Unknown,32000.0,20.0,78.7,3.67
Ariana,Apartment,300000.0,111.0,78.7,3.67
Ariana,House,1650000.0,1000.0,78.7,3.67
Ariana,Apartment,390000.0,150.0,78.7,3.67
Ariana,House,680000.0,360.0,78.7,3.67
Ariana,House,630000.0,300.0,78.7,3.67
Ariana,Unknown,720000.0,160.0,78.7,3.67
Ariana,Unknown,23000.0,45.0,78.7,3.67
Ariana,Land,199200.0,1.0,78.7,3.67
Ariana,Apartment,511536.0,174.0,78.7,3.67
Ariana,House,550000.0,688.0,78.7,3.67
Ariana,Apartment,345000.0,158.0,78.7,3.67
Ariana,Apartment,259000.0,125.0,78.7,3.67
Ariana,Apartment,295000.0,205.0,78.7,3.67
Ariana,Apartment,259000.0,117.0,78.7,3.67
Ariana,House,85000.0,170.0,78.7,3.67
Ariana,Apartment,190000.0,125.0,78.7,3.67
Ariana,Apartment,195000.0,92.0,78.7,3.67
Ariana,House,265000.0,320.0,78.7,3.67
Ariana,Apartment,565000.0,201.0,78.7,3.67
Ariana,House,960000.0,463.0,78.7,3.67
Ariana,Apartment,143000.0,114.0,78.7,3.67
Ariana,House,280000.0,230.0,78.7,3.67
Ariana,Apartment,1600000.0,71.0,78.7,3.67
Ariana,Apartment,416000.0,162.0,78.7,3.67
Ariana,Apartment,1780000.0,68.0,78.7,3.67
Ariana,House,357000.0,234.0,78.7,3.67
Ariana,Land,172000.0,1.0,78.7,3.67
Ariana,Apartment,1900000.0,72.0,78.7,3.67
Ariana,Apartment,109000.0,58.0,78.7,3.67
Ariana,Land,1125000.0,1.0,78.7,3.67
Ariana,Apartment,175000.0,77.0,78.7,3.67
Ariana,Apartment,285000.0,156.0,78.7,3.67
Ariana,Apartment,420000.0,198.0,78.7,3.67
Ariana,Unknown,40000.0,30.0,78.7,3.67
Ariana,House,140000.0,220.0,78.7,3.67
Ariana,Apartment,330000.0,175.0,78.7,3.67
Ariana,Apartment,250000.0,124.0,78.7,3.67
Ariana,Apartment,310000.0,180.0,78.7,3.67
Ariana,Apartment,170000.0,111.0,78.7,3.67
Ariana,House,145000.0,280.0,78.7,3.67
Ariana,Apartment,150000.0,54.0,78.7,3.67
Ariana,Apartment,95000.0,65.0,78.7,3.67
Ariana,House,225000.0,130.0,78.7,3.67
Ariana,House,120000.0,103.0,78.7,3.67
Ariana,House,550000.0,500.0,78.7,3.67
Ariana,House,125000.0,120.0,78.7,3.67
Ariana,Unknown,160000.0,53.0,78.7,3.67
Ariana,House,450000.0,280.0,78.7,3.67
Ariana,House,290000.0,110.0,78.7,3.67
Ariana,Apartment,355000.0,134.0,78.7,3.67
Ariana,Apartment,220000.0,117.0,78.7,3.67
Ariana,Apartment,358000.0,138.0,78.7,3.67
Ariana,Apartment,320000.0,154.0,78.7,3.67
Ariana,Apartment,550000.0,150.0,78.7,3.67
Ariana,Apartment,375000.0,150.0,78.7,3.67
