listing_url,image_url,image_index,source_csv,source_row,city
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/57915.html,https://cdn-media.medialabtc.it/tn/agencies/naha2/estates/57915/images/339351/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,62,"Hammamet, Avenue omar khayem - Hammamet Nord"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/57915.html,https://cdn-media.medialabtc.it/tn/agencies/naha2/estates/57915/images/339351/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,62,"Hammamet, Avenue omar khayem - Hammamet Nord"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/61068.html,https://cdn-media.medialabtc.it/tn/agencies/naha2/estates/61068/images/345379/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,158,"Hammamet, Avenue Dali Jazi - Hammamet Nord"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/62463.html,https://cdn-media.medialabtc.it/tn/agencies/naha1/estates/62463/images/355272/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,210,Hammamet - Hammamet Centre
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/55235.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/55235/images/290268/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,124,"Kélibia, Rue Manzel Horr"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/59059.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/59059/images/324438/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,65,"Kélibia, s+3 sidi ben aissa"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/59539.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/59539/images/347390/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,120,"Kélibia, Kélibia la blanche"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/59539.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/59539/images/347390/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,120,"Kélibia, Kélibia la blanche"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/59811.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/59811/images/331777/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,114,"Kélibia, Cité riadh"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/59911.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/59911/images/356591/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,69,"Kélibia, Rue sakiet sidi youssef"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/60319.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/60319/images/364284/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,86,"Kélibia, Jinen Mansoura"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/60421.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/60421/images/338156/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,72,"Kélibia, Jinene Mansoura"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/60597.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/60597/images/348758/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,117,"Kélibia, Rue Victor Hugo"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/61409.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/61409/images/356577/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,119,"Kélibia, Hamem lghezez"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/61532.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/61532/images/350570/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,121,"Kélibia, cite Merdes"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/61532.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/61532/images/350570/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,121,"Kélibia, cite Merdes"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/61850.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/61850/images/352037/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,112,"Kélibia, Kélibia la blanche"
